ts;Time;temp1;temp2;Package id 0;Core 0;Core 1
1554128589;2019-04-01:18:23;+27.8;	+29.8;	+35.0;	+34.0;	+34.0
1554128592;2019-04-01:18:23;+27.8;	+29.8;	+35.0;	+35.0;	+34.0
1554128595;2019-04-01:18:23;+27.8;	+29.8;	+36.0;	+34.0;	+34.0
1554128598;2019-04-01:18:23;+27.8;	+29.8;	+36.0;	+35.0;	+34.0
1554128601;2019-04-01:18:23;+27.8;	+29.8;	+36.0;	+35.0;	+34.0
1554128604;2019-04-01:18:23;+27.8;	+29.8;	+72.0;	+72.0;	+71.0
1554128607;2019-04-01:18:23;+27.8;	+29.8;	+74.0;	+74.0;	+72.0
1554128610;2019-04-01:18:23;+27.8;	+29.8;	+77.0;	+77.0;	+74.0
1554128613;2019-04-01:18:23;+27.8;	+29.8;	+78.0;	+78.0;	+76.0
1554128616;2019-04-01:18:23;+27.8;	+29.8;	+80.0;	+80.0;	+73.0
1554128619;2019-04-01:18:23;+27.8;	+29.8;	+80.0;	+80.0;	+75.0
1554128622;2019-04-01:18:23;+27.8;	+29.8;	+76.0;	+76.0;	+74.0
1554128625;2019-04-01:18:23;+27.8;	+29.8;	+58.0;	+58.0;	+54.0
1554128628;2019-04-01:18:23;+27.8;	+29.8;	+58.0;	+58.0;	+53.0
1554128631;2019-04-01:18:23;+27.8;	+29.8;	+56.0;	+56.0;	+53.0
1554128634;2019-04-01:18:23;+27.8;	+29.8;	+56.0;	+56.0;	+54.0
1554128637;2019-04-01:18:23;+27.8;	+29.8;	+56.0;	+56.0;	+53.0
1554128640;2019-04-01:18:24;+27.8;	+29.8;	+56.0;	+56.0;	+55.0
1554128643;2019-04-01:18:24;+27.8;	+29.8;	+79.0;	+79.0;	+74.0
1554128647;2019-04-01:18:24;+27.8;	+29.8;	+75.0;	+75.0;	+73.0
1554128650;2019-04-01:18:24;+27.8;	+29.8;	+57.0;	+57.0;	+55.0
1554128653;2019-04-01:18:24;+27.8;	+29.8;	+56.0;	+56.0;	+54.0
1554128656;2019-04-01:18:24;+27.8;	+29.8;	+57.0;	+57.0;	+54.0
1554128659;2019-04-01:18:24;+27.8;	+29.8;	+56.0;	+56.0;	+54.0
1554128662;2019-04-01:18:24;+27.8;	+29.8;	+57.0;	+57.0;	+54.0
1554128665;2019-04-01:18:24;+27.8;	+29.8;	+56.0;	+56.0;	+54.0
1554128668;2019-04-01:18:24;+27.8;	+29.8;	+57.0;	+57.0;	+54.0
1554128671;2019-04-01:18:24;+27.8;	+29.8;	+58.0;	+58.0;	+54.0
1554128674;2019-04-01:18:24;+27.8;	+29.8;	+57.0;	+57.0;	+54.0
1554128677;2019-04-01:18:24;+27.8;	+29.8;	+58.0;	+58.0;	+54.0
