ts;Time;temp1;temp2;Package-id-0;Core-0-temp;Core-1-temp;Thread-0-freq;Thread-1-freq;Thread-2-freq;Thread-3-freq;
1556093668;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+35.0;3000.107;2996.685;2999.801;2999.723;
1556093671;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+33.0;800.020;800.013;800.026;800.011;
1556093674;2019-04-24-12:14;+27.8;+29.8;+35.0;+33.0;+33.0;2939.999;2851.323;3031.542;2959.273;
1556093677;2019-04-24-12:14;+27.8;+29.8;+35.0;+33.0;+34.0;802.869;1195.194;1135.680;1121.218;
1556093680;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+34.0;1072.200;816.740;1161.377;1319.021;
1556093683;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+33.0;800.017;800.027;800.006;800.023;
1556093686;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+33.0;2964.360;2953.327;2642.933;3150.718;
1556093689;2019-04-24-12:14;+27.8;+29.8;+36.0;+36.0;+35.0;2999.352;2990.554;2998.922;2959.865;
1556093692;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+32.0;2717.654;3174.825;3162.227;2895.243;
1556093695;2019-04-24-12:14;+27.8;+29.8;+35.0;+34.0;+33.0;1665.603;1511.005;1050.270;825.535;
1556093698;2019-04-24-12:14;+27.8;+29.8;+50.0;+47.0;+50.0;3500.001;3500.007;3500.008;3500.006;
1556093701;2019-04-24-12:15;+27.8;+29.8;+42.0;+42.0;+41.0;2025.382;2133.312;2033.420;2078.743;
1556093704;2019-04-24-12:15;+27.8;+29.8;+36.0;+34.0;+34.0;842.600;840.645;834.040;826.827;
1556093708;2019-04-24-12:15;+27.8;+29.8;+36.0;+36.0;+35.0;1700.007;1700.235;1700.069;1700.005;
1556093711;2019-04-24-12:15;+27.8;+29.8;+36.0;+34.0;+35.0;900.043;900.100;900.004;900.024;
1556093714;2019-04-24-12:15;+27.8;+29.8;+44.0;+41.0;+44.0;3500.005;3500.007;3500.002;3500.003;
1556093717;2019-04-24-12:15;+27.8;+29.8;+39.0;+37.0;+37.0;2000.009;2000.012;2000.030;2000.155;
1556093720;2019-04-24-12:15;+27.8;+29.8;+36.0;+36.0;+35.0;800.013;800.009;800.024;800.019;
1556093723;2019-04-24-12:15;+27.8;+29.8;+43.0;+41.0;+43.0;3491.289;3495.274;3491.284;3495.636;
1556093726;2019-04-24-12:15;+27.8;+29.8;+54.0;+45.0;+54.0;3499.998;3500.009;3499.999;3500.001;
1556093729;2019-04-24-12:15;+27.8;+29.8;+62.0;+53.0;+62.0;3500.001;3499.995;3500.006;3500.001;
1556093732;2019-04-24-12:15;+27.8;+29.8;+36.0;+35.0;+35.0;800.006;799.999;800.006;800.006;
1556093735;2019-04-24-12:15;+27.8;+29.8;+36.0;+36.0;+35.0;1600.006;1600.014;1600.007;1600.003;
1556093738;2019-04-24-12:15;+27.8;+29.8;+36.0;+35.0;+35.0;799.999;800.004;800.003;800.002;
1556093741;2019-04-24-12:15;+27.8;+29.8;+35.0;+35.0;+34.0;800.003;800.004;800.003;800.001;
1556093744;2019-04-24-12:15;+27.8;+29.8;+44.0;+43.0;+44.0;3498.360;3415.856;3483.166;3485.807;
1556093747;2019-04-24-12:15;+27.8;+29.8;+36.0;+35.0;+34.0;800.001;800.007;800.010;800.015;
1556093750;2019-04-24-12:15;+27.8;+29.8;+39.0;+38.0;+37.0;803.992;803.222;803.635;811.458;
1556093753;2019-04-24-12:15;+27.8;+29.8;+52.0;+48.0;+52.0;3500.005;3500.001;3499.997;3499.999;
1556093756;2019-04-24-12:15;+27.8;+29.8;+36.0;+34.0;+34.0;808.861;1081.159;860.381;865.641;
1556093759;2019-04-24-12:15;+27.8;+29.8;+47.0;+47.0;+44.0;3200.001;3200.025;3200.968;3200.048;
1556093762;2019-04-24-12:16;+27.8;+29.8;+36.0;+35.0;+34.0;1682.118;1590.718;1803.138;1735.527;
1556093765;2019-04-24-12:16;+27.8;+29.8;+54.0;+54.0;+52.0;1076.716;1237.482;1130.829;1254.035;
1556093768;2019-04-24-12:16;+27.8;+29.8;+37.0;+36.0;+35.0;800.003;800.012;800.006;800.010;
1556093771;2019-04-24-12:16;+27.8;+29.8;+62.0;+62.0;+49.0;3500.024;3500.004;3500.000;3500.014;
1556093774;2019-04-24-12:16;+27.8;+29.8;+56.0;+55.0;+56.0;3500.015;3500.100;3499.997;3500.001;
1556093777;2019-04-24-12:16;+27.8;+29.8;+37.0;+37.0;+36.0;900.000;899.998;900.002;900.000;
1556093780;2019-04-24-12:16;+27.8;+29.8;+40.0;+40.0;+39.0;2400.003;2400.006;2400.023;2400.082;
1556093783;2019-04-24-12:16;+27.8;+29.8;+37.0;+35.0;+34.0;800.001;800.011;800.008;800.006;
1556093787;2019-04-24-12:16;+27.8;+29.8;+37.0;+36.0;+36.0;3118.325;2862.931;3123.741;2811.019;
1556093790;2019-04-24-12:16;+27.8;+29.8;+54.0;+54.0;+43.0;3499.901;3500.002;3500.001;3499.999;
1556093793;2019-04-24-12:16;+27.8;+29.8;+41.0;+41.0;+38.0;2300.004;2300.006;2300.101;2300.003;
1556093796;2019-04-24-12:16;+27.8;+29.8;+37.0;+36.0;+35.0;900.001;900.011;900.006;900.003;
1556093799;2019-04-24-12:16;+27.8;+29.8;+54.0;+46.0;+54.0;3500.029;3500.000;3500.009;3499.991;
1556093802;2019-04-24-12:16;+27.8;+29.8;+38.0;+36.0;+36.0;800.013;800.038;800.021;800.044;
1556093805;2019-04-24-12:16;+27.8;+29.8;+56.0;+56.0;+47.0;3495.276;3297.390;3498.092;3466.645;
1556093808;2019-04-24-12:16;+27.8;+29.8;+39.0;+38.0;+37.0;1700.002;1700.009;1700.011;1700.005;
1556093811;2019-04-24-12:16;+27.8;+29.8;+41.0;+41.0;+39.0;3252.610;3324.887;3266.786;3271.312;
1556093814;2019-04-24-12:16;+27.8;+29.8;+37.0;+36.0;+35.0;800.003;800.005;800.008;800.005;
1556093817;2019-04-24-12:16;+27.8;+29.8;+37.0;+36.0;+36.0;800.002;800.008;800.004;800.000;
1556093820;2019-04-24-12:17;+27.8;+29.8;+45.0;+42.0;+45.0;3200.001;3200.008;3200.004;3200.006;
1556093823;2019-04-24-12:17;+27.8;+29.8;+41.0;+39.0;+40.0;900.009;900.005;900.014;900.037;
1556093826;2019-04-24-12:17;+27.8;+29.8;+59.0;+50.0;+59.0;3500.105;3500.051;3500.020;3500.001;
1556093829;2019-04-24-12:17;+27.8;+29.8;+39.0;+39.0;+38.0;3007.857;3027.875;2993.033;3009.143;
1556093832;2019-04-24-12:17;+27.8;+29.8;+37.0;+36.0;+35.0;1329.734;1185.534;1293.299;1262.869;
1556093835;2019-04-24-12:17;+27.8;+29.8;+37.0;+35.0;+36.0;800.015;800.004;800.057;800.019;
1556093838;2019-04-24-12:17;+27.8;+29.8;+47.0;+47.0;+40.0;3499.998;3500.001;3500.000;3500.000;
